"Name","Race","Race_percentage"
"Oakhaven","Hispanic",1.896376566
"Oakhaven","White",62.71588215
"Oakhurst","Asian",0.643604183
"Oakhurst","Black",58.88978278
"Oakhurst","Hispanic",1.769911504
"Oakhurst","White",31.2148029
"Old East Durham","Asian",0.901884395717612
"Old East Durham","Black",33.6437281083144
"Old East Durham","Hispanic",35.3807126774527
"Old East Durham","White",27.2205528479767
"Old Farm","Asian",2.68831504918509
"Old Farm","Black",58.7524556871332
"Old Farm","Hispanic",23.0244222335981
"Old Farm","White",13.5334731463589
"Old Five Points","Asian",3.223443223
"Old Five Points","Black",9.377289377
"Old Five Points","Hispanic",6.373626374
"Old Five Points","White",74.72527473
"Old North Durham","Asian",1.58067047721818
"Old North Durham","Black",24.478181052676
"Old North Durham","Hispanic",24.3396824660281
"Old North Durham","White",46.8094507498678
"Old West Durham","Asian",12.9593612786131
"Old West Durham","Black",5.90373700247688
"Old West Durham","Hispanic",9.84088659043066
"Old West Durham","White",61.8991483605596
"Omah Street","Asian",0.190353143844444
"Omah Street","Black",20.3461794033333
"Omah Street","Hispanic",12.0903162286667
"Omah Street","White",42.4006152353333
"Orchard Ridge","Asian",10.56625803
"Orchard Ridge","Black",36.31056626
"Orchard Ridge","Hispanic",13.25160537
"Orchard Ridge","White",39.87157034
"Orchid Court","Asian",1.405975395
"Orchid Court","Black",7.029876977
"Orchid Court","Hispanic",6.590509666
"Orchid Court","White",79.61335677
"Pagehurst","Asian",10.24868124
"Pagehurst","Black",31.98944989
"Pagehurst","Hispanic",1.620195931
"Pagehurst","White",50.03767898
"Parkside","Asian",1.809210526
"Parkside","Black",12.17105263
"Parkside","Hispanic",3.536184211
"Parkside","White",67.26973684
"Parkwood","Asian",3.17685686950949
"Parkwood","Black",23.4158979219296
"Parkwood","Hispanic",7.94774127635076
"Parkwood","White",58.4236609399145
"Penrith","Asian",2.50709834876056
"Penrith","Black",54.7785523356198
"Penrith","Hispanic",12.2450253852563
"Penrith","White",28.989002018169
"Pine Valley","Asian",0
"Pine Valley","Black",9.407665505
"Pine Valley","Hispanic",0
"Pine Valley","White",75.95818815
"Placid Valley","Asian",0
"Placid Valley","Black",0
"Placid Valley","Hispanic",9.262166405
"Placid Valley","White",62.95133438
"Pleasant Drive","Asian",0.900998746744182
"Pleasant Drive","Black",24.9804076101938
"Pleasant Drive","Hispanic",50.9575719205465
"Pleasant Drive","White",20.4214188938915
"Preston Avenue","Asian",1.077996195
"Preston Avenue","Black",21.68674699
"Preston Avenue","Hispanic",36.08116677
"Preston Avenue","White",41.15409004
"Preston Woods","Asian",0.736905065974577
"Preston Woods","Black",32.9476834798305
"Preston Woods","Hispanic",8.10621944294915
"Preston Woods","White",57.4732101566102
"Providence Ridge","Asian",2.52293578
"Providence Ridge","Black",42.35474006
"Providence Ridge","Hispanic",16.13149847
"Providence Ridge","White",36.16207951
"Ravenstone","Asian",3.235470342
"Ravenstone","Black",46.97423607
"Ravenstone","Hispanic",5.512282804
"Ravenstone","White",42.84002397
"Ridgefield","Asian",0.69777584
"Ridgefield","Black",69.29786306
"Ridgefield","Hispanic",11.25163541
"Ridgefield","White",10.29219363
"River Forest","Asian",0
"River Forest","Black",61.07544141
"River Forest","Hispanic",3.451043339
"River Forest","White",28.81219904
"River's Edge","Asian",2.978160159
"River's Edge","Black",3.904698875
"River's Edge","Hispanic",3.37524818
"River's Edge","White",83.38848445
"Rockwood","Asian",2.80353232473962
"Rockwood","Black",17.8180020069057
"Rockwood","Hispanic",6.60180635727169
"Rockwood","White",59.6623484493056
"Rougemont","Asian",0
"Rougemont","Black",34.18874172
"Rougemont","Hispanic",8.443708609
"Rougemont","White",57.36754967
"Rustica Oaks","Asian",21.79824561
"Rustica Oaks","Black",39.69298246
"Rustica Oaks","Hispanic",0
"Rustica Oaks","White",37.93859649
"Scarsdale Village","Asian",1.00097225966727
"Scarsdale Village","Black",25.3514891764727
"Scarsdale Village","Hispanic",32.7148351781091
"Scarsdale Village","White",40.5712213313091
"Settler's Point","Asian",9.095860566
"Settler's Point","Black",32.89760349
"Settler's Point","Hispanic",1.089324619
"Settler's Point","White",53.10457516
"Sheridan Drive","Asian",0
"Sheridan Drive","Black",56.99588477
"Sheridan Drive","Hispanic",4.218106996
"Sheridan Drive","White",38.78600823
"Solterra","Asian",10.9975326
"Solterra","Black",12.19598167
"Solterra","Hispanic",0
"Solterra","White",70.46175538
"Southampton","Asian",9.922113105
"Southampton","Black",19.77649848
"Southampton","Hispanic",1.896376566
"Southampton","White",62.71588215
"Southpoint Manor","Asian",8.610086101
"Southpoint Manor","Black",21.52521525
"Southpoint Manor","Hispanic",0
"Southpoint Manor","White",68.94218942
"Southside / St. Teresa","Asian",4.18966039587536
"Southside / St. Teresa","Black",48.4876780093623
"Southside / St. Teresa","Hispanic",16.5946814104029
"Southside / St. Teresa","White",24.9411997931884
"Spring Valley","Asian",2.15134999015962
"Spring Valley","Black",14.6679143509437
"Spring Valley","Hispanic",2.21576838079812
"Spring Valley","White",65.3547266833333
"Stadium Heights","Asian",1.6586673980167
"Stadium Heights","Black",41.0954147287683
"Stadium Heights","Hispanic",17.1031474056785
"Stadium Heights","White",34.0644089959708
"Stephen's Woods","Asian",0.810196472589928
"Stephen's Woods","Black",43.0742216376259
"Stephen's Woods","Hispanic",0
"Stephen's Woods","White",48.6619039190647
"Sterling Ridge","Asian",5.809698079
"Sterling Ridge","Black",22.64409881
"Sterling Ridge","Hispanic",0
"Sterling Ridge","White",70.3568161
"Stillwood","Asian",0
"Stillwood","Black",62.63676149
"Stillwood","Hispanic",23.14004376
"Stillwood","White",14.22319475
"Stirrup Creek","Asian",10.24868124
"Stirrup Creek","Black",31.98944989
"Stirrup Creek","Hispanic",1.620195931
"Stirrup Creek","White",50.03767898
"Stonehill Estates","Asian",0
"Stonehill Estates","Black",57.255234100445
"Stonehill Estates","Hispanic",17.6860147142154
"Stonehill Estates","White",21.2945226578688
"Stratford Lakes","Asian",0.417469493
"Stratford Lakes","Black",54.49582531
"Stratford Lakes","Hispanic",28.19524727
"Stratford Lakes","White",15.54271034
"Summer Meadow","Asian",2.077431539
"Summer Meadow","Black",60.90651558
"Summer Meadow","Hispanic",16.52502361
"Summer Meadow","White",13.78659112
"Sunningdale","Asian",5.82010582
"Sunningdale","Black",23.28042328
"Sunningdale","Hispanic",6.084656085
"Sunningdale","White",54.4973545
"Surrey Green","Asian",0
"Surrey Green","Black",27.13833157
"Surrey Green","Hispanic",1.16156283
"Surrey Green","White",70.64413939
"Swallows Ridge","Asian",1.405975395
"Swallows Ridge","Black",7.029876977
"Swallows Ridge","Hispanic",6.590509666
"Swallows Ridge","White",79.61335677
"Swann's Mill","Asian",3.907563025
"Swann's Mill","Black",82.10084034
"Swann's Mill","Hispanic",4.663865546
"Swann's Mill","White",9.327731092
"The Commons","Asian",14.40329218
"The Commons","Black",1.783264746
"The Commons","Hispanic",3.223593964
"The Commons","White",76.54320988
"The Hills at Southpoint","Asian",9.922113105
"The Hills at Southpoint","Black",19.77649848
"The Hills at Southpoint","Hispanic",1.896376566
"The Hills at Southpoint","White",62.71588215
"The Landing at Southpoint","Asian",8.610086101
"The Landing at Southpoint","Black",21.52521525
"The Landing at Southpoint","Hispanic",0
"The Landing at Southpoint","White",68.94218942
"Treyburn","Asian",1.44721841727223
"Treyburn","Black",12.1739471625741
"Treyburn","Hispanic",7.78642977171967
"Treyburn","White",75.5196388568868
"Trinity Heights","Asian",0.616740088
"Trinity Heights","Black",0.176211454
"Trinity Heights","Hispanic",8.986784141
"Trinity Heights","White",72.95154185
"Trinity Park","Asian",3.03198454670546
"Trinity Park","Black",7.40072177023045
"Trinity Park","Hispanic",13.8132684648183
"Trinity Park","White",68.9373764140618
"Trotter Ridge","Asian",5.809698079
